date,game,recommendationid,voted_up,hype_keywords_found,review_length
2026-06-28,The Planet Crafter,228986060,True,worth it,2800
2026-06-28,The Planet Crafter,228975170,True,early access,752
2026-06-28,The Planet Crafter,228911960,True,"early access, worth it",358
2026-06-28,The Planet Crafter,228706074,True,"early access, worth it",204
