date,game,recommendationid,voted_up,hype_keywords_found,review_length
2026-06-28,No Man's Sky,229012628,False,hype,2825
2026-06-28,No Man's Sky,228837467,True,worth it,1453
2026-06-28,No Man's Sky,228704023,True,trailer,85
